Clase,Precision,Recall,F1-Score,Support
heavy,0.9051094890510949,0.9763779527559056,0.9393939393939394,127
high,0.8928571428571429,0.7936507936507936,0.8403361344537815,63
low,0.9846153846153847,0.9696969696969697,0.9770992366412213,66
normal,0.9704142011834319,0.9647058823529412,0.967551622418879,340
